"","YaleID","Accession.ID"
"1","Yale-3866","EPI_ISL_1793067"
"2","Yale-3827","EPI_ISL_1793036"
"3","Yale-3700","EPI_ISL_1793645"
"4","Yale-3699","EPI_ISL_1793644"
"5","Yale-3696","EPI_ISL_1793641"
"6","Yale-3693","EPI_ISL_1793639"
"7","Yale-3690","EPI_ISL_1793636"
"8","Yale-3686","EPI_ISL_1793632"
"9","Yale-3692","EPI_ISL_1793638"
"10","Yale-3688","EPI_ISL_1793634"
"11","Yale-3685","EPI_ISL_1793631"
"12","Yale-3684","EPI_ISL_1793630"
"13","Yale-3678","EPI_ISL_1793624"
"14","Yale-3669","EPI_ISL_1793615"
"15","Yale-3672","EPI_ISL_1793618"
"16","Yale-3673","EPI_ISL_1793619"
"17","Yale-3655","EPI_ISL_1793601"
"18","Yale-3644","EPI_ISL_1793590"
"19","Yale-3659","EPI_ISL_1793605"
"20","Yale-3638","EPI_ISL_1793584"
"21","Yale-3643","EPI_ISL_1793589"
"22","Yale-3626","EPI_ISL_1793572"
"23","Yale-3640","EPI_ISL_1793586"
"24","Yale-3623","EPI_ISL_1793569"
"25","Yale-3620","EPI_ISL_1793566"
"26","Yale-3616","EPI_ISL_1793562"
"27","Yale-3614","EPI_ISL_1793560"
"28","Yale-3613","EPI_ISL_1793559"
"29","Yale-3619","EPI_ISL_1793565"
"30","Yale-3610","EPI_ISL_1793556"
"31","Yale-3609","EPI_ISL_1793555"
"32","Yale-3901","EPI_ISL_1793093"
"33","Yale-3895","EPI_ISL_1793088"
"34","Yale-3894","EPI_ISL_1793087"
"35","Yale-3893","EPI_ISL_1793086"
"36","Yale-3892","EPI_ISL_1793085"
"37","Yale-3897","EPI_ISL_1793089"
"38","Yale-3889","EPI_ISL_1793082"
"39","Yale-3886","EPI_ISL_1793080"
"40","Yale-3878","EPI_ISL_1793074"
"41","Yale-3885","EPI_ISL_1793079"
"42","Yale-3882","EPI_ISL_1793076"
"43","Yale-3881","EPI_ISL_1793075"
"44","Yale-3873","EPI_ISL_1793070"
"45","Yale-3851","EPI_ISL_1793057"
"46","Yale-3869","EPI_ISL_1793068"
"47","Yale-3850","EPI_ISL_1793056"
"48","Yale-3860","EPI_ISL_1793063"
"49","Yale-3839","EPI_ISL_1793047"
"50","Yale-3842","EPI_ISL_1793049"
"51","Yale-3858","EPI_ISL_1793062"
"52","Yale-3835","EPI_ISL_1793043"
"53","Yale-3853","EPI_ISL_1793058"
"54","Yale-3832","EPI_ISL_1793041"
"55","Yale-3823","EPI_ISL_1793033"
"56","Yale-3834","EPI_ISL_1793042"
"57","Yale-3845","EPI_ISL_1793052"
"58","Yale-3828","EPI_ISL_1793037"
"59","Yale-3822","EPI_ISL_1793032"
"60","Yale-3809","EPI_ISL_1793022"
"61","Yale-3802","EPI_ISL_1793016"
"62","Yale-3803","EPI_ISL_1793017"
"63","Yale-3817","EPI_ISL_1793028"
"64","Yale-3808","EPI_ISL_1793021"
"65","Yale-3819","EPI_ISL_1793030"
"66","Yale-3810","EPI_ISL_1793023"
"67","Yale-3797","EPI_ISL_1793010"
"68","Yale-3804","EPI_ISL_1793018"
"69","Yale-3811","EPI_ISL_1793024"
"70","Yale-3789","EPI_ISL_1793006"
"71","Yale-3791","EPI_ISL_1793007"
"72","Yale-3788","EPI_ISL_1793005"
"73","Yale-3796","EPI_ISL_1793009"
"74","Yale-3800","EPI_ISL_1793013"
"75","Yale-3772","EPI_ISL_1792991"
"76","Yale-3784","EPI_ISL_1793001"
"77","Yale-3777","EPI_ISL_1792995"
"78","Yale-3782","EPI_ISL_1792999"
"79","Yale-3780","EPI_ISL_1792997"
"80","Yale-3769","EPI_ISL_1792988"
"81","Yale-3770","EPI_ISL_1792989"
"82","Yale-3773","EPI_ISL_1792992"
"83","Yale-3768","EPI_ISL_1792987"
"84","Yale-3763","EPI_ISL_1792982"
"85","Yale-3765","EPI_ISL_1792984"
"86","Yale-3762","EPI_ISL_1792981"
"87","Yale-3766","EPI_ISL_1792985"
"88","Yale-3756","EPI_ISL_1792977"
"89","Yale-3764","EPI_ISL_1792983"
"90","Yale-3755","EPI_ISL_1792976"
"91","Yale-3752","EPI_ISL_1792973"
"92","Yale-3748","EPI_ISL_1792969"
"93","Yale-3743","EPI_ISL_1792964"
"94","Yale-3746","EPI_ISL_1792967"
"95","Yale-3741","EPI_ISL_1792963"
"96","Yale-3753","EPI_ISL_1792974"
"97","Yale-3754","EPI_ISL_1792975"
"98","Yale-3749","EPI_ISL_1792970"
"99","Yale-3740","EPI_ISL_1792962"
"100","Yale-3731","EPI_ISL_1792954"
"101","Yale-3737","EPI_ISL_1792959"
"102","Yale-3733","EPI_ISL_1792956"
"103","Yale-3734","EPI_ISL_1792957"
"104","Yale-3728","EPI_ISL_1792951"
"105","Yale-3735","EPI_ISL_1792958"
"106","Yale-3729","EPI_ISL_1792952"
"107","Yale-3726","EPI_ISL_1792949"
"108","Yale-3722","EPI_ISL_1792946"
"109","Yale-3724","EPI_ISL_1792948"
"110","Yale-3727","EPI_ISL_1792950"
"111","Yale-3715","EPI_ISL_1792939"
"112","Yale-3708","EPI_ISL_1792933"
"113","Yale-3717","EPI_ISL_1792941"
"114","Yale-3707","EPI_ISL_1792932"
"115","Yale-3718","EPI_ISL_1792942"
"116","Yale-3710","EPI_ISL_1792935"
"117","Yale-3706","EPI_ISL_1792931"
"118","Yale-3720","EPI_ISL_1792944"
"119","Yale-3854","EPI_ISL_1793059"
"120","Yale-3813","EPI_ISL_1793026"
"121","Yale-3837","EPI_ISL_1793045"
"122","Yale-3758","EPI_ISL_1792978"
"123","Yale-3767","EPI_ISL_1792986"
"124","Yale-3826","EPI_ISL_1793035"
"125","Yale-3805","EPI_ISL_1793019"
"126","Yale-3846","EPI_ISL_1793053"
"127","Yale-3719","EPI_ISL_1792943"
"128","Yale-3848","EPI_ISL_1793055"
"129","Yale-3855","EPI_ISL_1793060"
"130","Yale-3750","EPI_ISL_1792971"
"131","Yale-3744","EPI_ISL_1792965"
"132","Yale-3664","EPI_ISL_1793610"
"133","Yale-3695","EPI_ISL_1793640"
